infinitive
abbauen
abdrängen
abholzen
abhören
ablegen
abrufen
abschalten
abschleppen
abschneiden
absolvieren
abstellen
abteilen
abtrocknen
agieren
alkoholisieren
anfahren
anführen
anhalten
anliegen
anprobieren
anrichten
anschauen
anstauen
ansteigen
anstreben
antreiben
anweisen
anzünden
auffahren
auflegen
aufrufen
ausbauen
ausführen
ausgewogen
auslaufen
ausprobieren
aussagen
ausschalten
ausschauen
außen
ausstecken
aussterben
ausstoßen
ausüben
ausverkaufen
beanspruchen
bearbeiten
bedrohen
beeinträchtigen
befahren
befürchten
begreifen
begrenzen
bekämpfen
belasten
belästigen
benachteiligen
benoten
bergen
bergsteigen
berücksichtigen
berufen
berühren
beseitigen
bestanden
bestimmen
beten
betragen
betreiben
betten
bewahren
bewerten
bewilligen
bewirken
bewohnen
bezeichnen
bilden
binden
bisschen
blasen
blocken
blockieren
boomen
booten
brauen
bürsten
campen
cremen
dämpfen
decken
definieren
demonstrieren
deswegen
durchführen
durchlaufen
durchsagen
durchsetzen
eigen
einfahren
einfrieren
einschätzen
einschenken
einschlafen
einschmieren
einschreiben
einschulen
einstecken
einwerfen
elektrifizieren
entbehren
entgegenwirken
entsprechen
entwerten
entziehen
erbrechen
erfolgen
ergeben
ergreifen
erlassen
erlernen
ermöglichen
erscheinen
erschweren
erwachsen
erwerben
erwirtschaften
erzeugen
erzielen
existieren
fällen
färben
fetten
filmen
fischen
florieren
föhnen
formen
formulieren
fortschreiten
frankieren
frisieren
frittieren
füllen
funken
garen
gebären
gefährden
gefrieren
geraten
gestalten
gesunden
gewährleisten
grasen
grenzen
großziehen
hauen
haushalten
heilen
hervorrufen
hinlegen
hinsetzen
hinten
illustrieren
innen
internationalisieren
interviewen
inzwischen
kämmen
ketten
klatschen
kleiden
knien
kommentieren
kommunizieren
kompostieren
konkurrieren
kontaktieren
kühlen
kürzen
laden
lärmen
legalisieren
lehren
listen
managen
möblieren
modernisieren
musizieren
nachfüllen
nachgehen
nachweisen
neben
niederlegen
offen
ölen
pfeifen
pflücken
philosophieren
plakatieren
platzen
prämieren
pressen
programmieren
radieren
rasen
rauschen
referieren
reformieren
regieren
regulieren
reklamieren
ringen
riskieren
rollen
ruhen
salben
salzen
saugen
schädigen
schlucken
schmeißen
schmerzen
schrauben
schulden
schütten
seifen
senken
sozusagen
spannen
spaßen
speisen
spendieren
sperren
spitzen
spritzen
stabilisieren
stärken
stauen
stocken
strafen
strahlen
stranden
strecken
stressen
stürmen
tasten
teilhaben
ticken
töten
trocken
tropfen
turnen
überlassen
überschwemmen
umfassen
umfragen
umrühren
umschlagen
veranlassen
veranstalten
verbeulen
verderben
vereinen
verfahren
vergiften
verheiraten
verkürzen
verlegen
verneinen
vernichten
verrichten
verschieden
verseuchen
verstärken
vervollständigen
verwalten
verzeichnen
verzollen
voraussagen
voraussetzen
vorhersagen
vorschreiben
vorsorgen
vortragen
vorziehen
wagen
wärmen
wegfallen
wegrationalisieren
wegwerfen
weisen
weitergeben
weitergehen
werben
werken
werten
widmen
willkommen
wischen
würzen
zerbrechen
zielen
zufrieden
zurückzahlen
zusammen
zusammenarbeiten
zusammenbrechen
zusammengehen
zustehen
zustellen
zuweisen
zuzahlen
zwischen
