level,infinitive,source_id,source_name,source_url,license,notes
A1,bringen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,buchstabieren,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,danken,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,dauern,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,denken,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
A1,drucken,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,dürfen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,duschen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,einkaufen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,einladen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,einsteigen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,empfehlen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,enden,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,entschuldigen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,erklären,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,erzählen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,essen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,essen,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
A1,fahren,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,fahren,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
