infinitive
abbiegen
abfahren
abfliegen
abheben
abholen
ablehnen
abmachen
abnehmen
absagen
abschließen
abstimmen
anbieten
anfangen
angeben
ankommen
anmachen
anmelden
annehmen
anrufen
anschnallen
anstellen
antworten
anzeigen
anziehen
arbeiten
atmen
aufgeben
aufheben
aufmachen
aufnehmen
aufräumen
aufschreiben
aufstehen
aufwachen
ausbilden
ausfallen
ausfüllen
ausgehen
ausmachen
auspacken
ausreichen
aussehen
aussprechen
aussteigen
ausstellen
ausziehen
backen
baden
bauen
beachten
beantworten
bedeuten
beeinflussen
begründen
beißen
bekommen
beleidigen
bemerken
benötigen
benutzen
beraten
berichten
beschädigen
beschließen
besetzen
besichtigen
besitzen
bestätigen
bestellen
besuchen
betreuen
bezahlen
bieten
bitten
bleiben
blitzen
blühen
bluten
braten
brauchen
brechen
bremsen
brennen
bringen
buchen
buchstabieren
danken
darstellen
denken
dienen
diskutieren
drehen
drucken
drücken
duschen
duzen
eilen
einfallen
einfügen
einführen
einkaufen
einladen
einnehmen
einpacken
einrichten
einschalten
einsetzen
einsteigen
einstellen
einzahlen
einziehen
empfehlen
enden
enthalten
entlassen
entstehen
erfahren
erfinden
erfüllen
ergänzen
erhalten
erhöhen
erkennen
erklären
erlauben
erleben
erreichen
erwarten
erzählen
erziehen
essen
fahren
fallen
fangen
fassen
faxen
fehlen
fernsehen
festhalten
festlegen
festnehmen
feststellen
finden
fliegen
fließen
folgen
fotografieren
fragen
fressen
frieren
frühstücken
führen
funktionieren
geben
gebrauchen
gefallen
gehen
gehören
gelingen
genehmigen
genießen
geschehen
gewinnen
gießen
grillen
gründen
haben
halten
hängen
heben
heiraten
heißen
heizen
helfen
herstellen
holen
hören
husten
installieren
jobben
joggen
kämpfen
kaufen
kennen
kennenlernen
klären
kleben
klicken
klopfen
kochen
kommen
können
kontrollieren
kopieren
korrigieren
kosten
kriegen
kritisieren
kündigen
küssen
lachen
landen
lassen
laufen
leben
legen
leihen
leisten
leiten
lernen
lesen
lieben
liegen
loben
löschen
lösen
lügen
machen
malen
markieren
meinen
melden
merken
mieten
mischen
mitbringen
mögen
müssen
nehmen
nennen
notieren
nutzen
öffnen
operieren
ordnen
organisieren
packen
parken
passen
passieren
pflanzen
pflegen
planen
probieren
produzieren
protestieren
prüfen
putzen
rasieren
raten
rauchen
reagieren
rechnen
reden
reduzieren
regnen
reichen
reinigen
reisen
rennen
reparieren
reservieren
retten
rufen
rühren
sagen
schaden
schaffen
schalten
schätzen
schauen
scheinen
schenken
schieben
schießen
schlafen
schlagen
schließen
schminken
schneiden
schneien
schreiben
schreien
schützen
schwimmen
schwitzen
sehen
sein
senden
setzen
siegen
siezen
singen
sinken
sitzen
sollen
sparen
spazieren
spielen
sprechen
springen
spülen
spüren
starten
stattfinden
stechen
stecken
stehen
stehlen
steigen
stellen
stoppen
stoßen
streiken
studieren
stürzen
suchen
surfen
tanken
tanzen
tauchen
teilen
telefonieren
testen
tippen
tragen
trainieren
transportieren
treffen
treiben
treten
trinken
trocknen
tun
üben
überholen
überlegen
übernachten
übernehmen
überqueren
übersetzen
übertragen
überweisen
überzeugen
umtauschen
umziehen
unternehmen
unterrichten
unterscheiden
unterschreiben
unterstreichen
unterstützen
untersuchen
verbieten
verbinden
verbrauchen
verbrennen
verbringen
verdienen
vereinbaren
vergessen
verkaufen
verlangen
verlassen
verleihen
verletzen
verlieren
vermeiden
vermieten
veröffentlichen
verpassen
verpflegen
verreisen
verschmutzen
verschreiben
versorgen
versprechen
verstehen
versuchen
verteilen
vertrauen
vertreten
verursachen
verwenden
vorbereiten
vorkommen
vorschlagen
vorstellen
wachsen
wählen
waschen
wecken
weinen
wenden
werfen
wetten
wiederholen
winken
wirken
wissen
wohnen
wollen
zahlen
zählen
zeichnen
zeigen
zelten
zerstören
ziehen
zubereiten
zuhören
zumachen
zunehmen
zurechtkommen
zurückgeben
zurückgehen
zusammenfassen
