infinitive
abbauen
abbiegen
abdrängen
abfahren
abfliegen
abheben
abholen
abholzen
abhören
ablegen
ablehnen
abmachen
abnehmen
abrufen
absagen
abschalten
abschleppen
abschließen
abschneiden
absolvieren
abstellen
abstimmen
abteilen
abtrocknen
agieren
alkoholisieren
anbieten
anfahren
anfangen
anführen
angeben
anhalten
ankommen
anliegen
anmachen
anmelden
annehmen
anprobieren
anrichten
anrufen
anschauen
anschnallen
anstauen
ansteigen
anstellen
anstreben
antreiben
antworten
anweisen
anzeigen
anziehen
anzünden
arbeiten
atmen
auffahren
aufgeben
aufheben
auflegen
aufmachen
aufnehmen
aufräumen
aufrufen
aufschreiben
aufstehen
aufwachen
ausbauen
ausbilden
ausfallen
ausführen
ausfüllen
ausgehen
ausgewogen
auslaufen
ausmachen
auspacken
ausprobieren
ausreichen
aussagen
ausschalten
ausschauen
aussehen
außen
aussprechen
ausstecken
aussteigen
ausstellen
aussterben
ausstoßen
ausüben
ausverkaufen
ausziehen
backen
baden
bauen
beachten
beanspruchen
beantworten
bearbeiten
bedeuten
bedrohen
beeinflussen
beeinträchtigen
befahren
befürchten
begreifen
begrenzen
begründen
beißen
bekämpfen
bekommen
belasten
belästigen
beleidigen
bemerken
benachteiligen
benoten
benötigen
benutzen
beraten
bergen
bergsteigen
berichten
berücksichtigen
berufen
berühren
beschädigen
beschließen
beseitigen
besetzen
besichtigen
besitzen
bestanden
bestätigen
bestellen
bestimmen
besuchen
beten
betragen
betreiben
betreuen
betten
bewahren
bewerten
bewilligen
bewirken
bewohnen
bezahlen
bezeichnen
bieten
bilden
binden
bisschen
bitten
blasen
bleiben
blitzen
blocken
blockieren
blühen
bluten
boomen
booten
braten
brauchen
brauen
brechen
bremsen
brennen
bringen
buchen
buchstabieren
bürsten
campen
cremen
dämpfen
danken
darstellen
decken
definieren
demonstrieren
denken
deswegen
dienen
diskutieren
drehen
drucken
drücken
durchführen
durchlaufen
durchsagen
durchsetzen
duschen
duzen
eigen
eilen
einfahren
einfallen
einfrieren
einfügen
einführen
einkaufen
einladen
einnehmen
einpacken
einrichten
einschalten
einschätzen
einschenken
einschlafen
einschmieren
einschreiben
einschulen
einsetzen
einstecken
einsteigen
einstellen
einwerfen
einzahlen
einziehen
elektrifizieren
empfehlen
enden
entbehren
entgegenwirken
enthalten
entlassen
entsprechen
entstehen
entwerten
entziehen
erbrechen
erfahren
erfinden
erfolgen
erfüllen
ergänzen
ergeben
ergreifen
erhalten
erhöhen
erkennen
erklären
erlassen
erlauben
erleben
erlernen
ermöglichen
erreichen
erscheinen
erschweren
erwachsen
erwarten
erwerben
erwirtschaften
erzählen
erzeugen
erziehen
erzielen
essen
existieren
fahren
fallen
fällen
fangen
färben
fassen
faxen
fehlen
fernsehen
festhalten
festlegen
festnehmen
feststellen
fetten
filmen
finden
fischen
fliegen
fließen
florieren
föhnen
folgen
formen
formulieren
fortschreiten
fotografieren
fragen
frankieren
fressen
frieren
frisieren
frittieren
frühstücken
führen
füllen
funken
funktionieren
garen
gebären
geben
gebrauchen
gefährden
gefallen
gefrieren
gehen
gehören
gelingen
genehmigen
genießen
geraten
geschehen
gestalten
gesunden
gewährleisten
gewinnen
gießen
grasen
grenzen
grillen
großziehen
gründen
haben
halten
hängen
hauen
haushalten
heben
heilen
heiraten
heißen
heizen
helfen
herstellen
hervorrufen
hinlegen
hinsetzen
hinten
holen
hören
husten
illustrieren
innen
installieren
internationalisieren
interviewen
inzwischen
jobben
joggen
kämmen
kämpfen
kaufen
kennen
kennenlernen
ketten
klären
klatschen
kleben
kleiden
klicken
klopfen
knien
kochen
kommen
kommentieren
kommunizieren
kompostieren
konkurrieren
können
