infinitive
abbiegen
abfahren
abhängen
abheben
abholen
ablehnen
abmachen
abnehmen
abonnieren
abstimmen
abwaschen
achten
akzeptieren
anbieten
anerkennen
anfangen
anmelden
anrufen
anschaffen
anschließen
anschnallen
ansprechen
anstellen
antworten
anwenden
anzeigen
anziehen
arbeiten
atmen
auffallen
aufführen
aufhalten
aufheben
aufhören
auflösen
aufnehmen
aufpassen
aufräumen
aufregen
aufstehen
auftreten
aufwachen
ausdrucken
ausfallen
ausfüllen
ausgehen
ausmachen
ausrichten
ausschließen
aussehen
ausstellen
ausziehen
backen
baden
bauen
beachten
beantragen
beantworten
bedeuten
bedienen
beenden
begegnen
beginnen
begleiten
begründen
begrüßen
behalten
beleidigen
bemerken
benötigen
benutzen
beobachten
beraten
berechnen
berichten
beruhigen
beschädigen
beschäftigen
beschließen
beschränken
beschreiben
besichtigen
besitzen
besorgen
besprechen
bestätigen
bestellen
bestrafen
besuchen
betreuen
betrügen
bewegen
beweisen
bezahlen
bieten
bitten
bleiben
blühen
bluten
braten
brauchen
bremsen
brennen
bringen
buchen
buchstabieren
danken
denken
drehen
drucken
drücken
dürfen
duschen
einbrechen
einfallen
einigen
einkaufen
einladen
einnehmen
einpacken
einrichten
einschalten
einsetzen
einsteigen
einstellen
eintragen
einzahlen
einziehen
empfangen
empfehlen
enden
entdecken
enthalten
entlassen
entscheiden
entschuldigen
entsorgen
entstehen
enttäuschen
erfahren
erfinden
erfüllen
ergänzen
erhalten
erhöhen
erkennen
erklären
erkundigen
erlauben
erleben
erledigen
ernähren
eröffnen
erreichen
erschrecken
ersetzen
erstellen
erwarten
erziehen
essen
fahren
fallen
fangen
faxen
fehlen
fernsehen
festhalten
festlegen
festnehmen
festsetzen
feststellen
finanzieren
finden
fliegen
fliehen
fließen
folgen
fortsetzen
fotografieren
fragen
fressen
frieren
frühstücken
führen
funktionieren
garantieren
geben
gebrauchen
gefallen
gehen
gehören
gelingen
gelten
genügen
geschehen
gewinnen
gewöhnen
gießen
glauben
gratulieren
greifen
grillen
gründen
grüßen
gucken
haben
halten
hängen
hassen
heben
heiraten
heißen
heizen
helfen
herstellen
hinterlassen
hoffen
holen
hören
hupen
husten
impfen
informieren
installieren
integrieren
irren
isolieren
jobben
joggen
kämpfen
kennen
klappen
klären
kleben
klicken
klingen
klopfen
kochen
kommen
können
korrigieren
kosten
kriegen
kündigen
küssen
lachen
landen
lassen
laufen
leben
legen
leiden
leihen
leisten
leiten
lernen
lesen
lieben
liegen
löschen
lösen
losfahren
lügen
machen
malen
markieren
meinen
melden
merken
messen
mieten
mischen
mitteilen
mögen
müssen
nachdenken
nachholen
nähen
nehmen
nennen
nutzen
öffnen
operieren
ordnen
organisieren
packen
parken
passen
passieren
pflegen
probieren
produzieren
protestieren
prüfen
putzen
rasieren
raten
rauchen
reagieren
rechnen
reden
reduzieren
regnen
reichen
reinigen
reisen
reiten
rennen
renovieren
reparieren
reservieren
retten
riechen
rufen
rühren
sagen
schaden
schaffen
schalten
schätzen
schauen
scheinen
schenken
schicken
schieben
schießen
schimpfen
schinken
schlafen
schlagen
schließen
schmecken
schneien
schreiben
schreien
schützen
schwimmen
schwitzen
sehen
sein
senden
setzen
singen
sinken
sitzen
sollen
sorgen
sparen
spielen
sprechen
springen
spülen
spüren
stammen
starten
stattfinden
stecken
stehen
stehlen
steigen
stellen
sterben
stimmen
stinken
stoppen
stören
stoßen
streichen
streiken
streiten
studieren
stürzen
suchen
tanken
tanzen
täuschen
teilen
teilnehmen
telefonieren
testen
tragen
trainieren
träumen
treffen
treiben
treten
trinken
trocknen
überfahren
überholen
übernachten
übernehmen
überqueren
überraschen
überreden
übersetzen
übertragen
übertreiben
überweisen
überzeugen
umarmen
umdrehen
umsteigen
umziehen
unterbrechen
unternehmen
unterstreichen
unterstützen
untersuchen
verabreden
verbieten
verbinden
verbrauchen
verbrennen
verbringen
verdienen
vereinbaren
vergessen
vergleichen
verhaften
verkaufen
verlangen
verlassen
verleihen
verlieben
verlieren
vermeiden
vermieten
vermissen
verpacken
verreisen
verschieben
verschreiben
verschwinden
versorgen
versprechen
verstecken
verstehen
versuchen
verteilen
vertrauen
vertreten
verurteilen
vorbereiten
vorkommen
vorlesen
vorschlagen
vorstellen
wachsen
wählen
warnen
warten
waschen
wecken
weinen
wenden
werden
werfen
wiederholen
wiegen
winken
wirken
wissen
wohnen
wollen
wünschen
zahlen
zählen
zeichnen
zeigen
zerstören
ziehen
zuhören
zulassen
zumachen
zunehmen
zusagen
zuschauen
zwingen
zwischen
