lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
selbstständig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/selbstst%C3%A4ndig
selbständig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/selbst%C3%A4ndig
spät,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/sp%C3%A4t
später,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/sp%C3%A4ter
teuer,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/teuer
tot,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/tot
viel,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/viel
weiblich,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/weiblich
weit,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/weit
weiter,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/weiter
weiß,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wei%C3%9F
wenig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wenig
wichtig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wichtig
willkommen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/willkommen
wunderbar,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wunderbar
zufrieden,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zufrieden
aktiv,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/aktiv
aktuell,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/aktuell
arm,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/arm
bequem,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/bequem
blond,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/blond
blöd,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/bl%C3%B6d
blöde,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/bl%C3%B6de
bunt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/bunt
deutlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/deutlich
dick,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/dick
direkt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/direkt
dumm,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/dumm
dunkel,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/dunkel
dünn,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/d%C3%BCnn
echt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/echt
egal,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/egal#1
eigen,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/eigen
eigentlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/eigentlich
einzeln,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/einzeln
eng,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/eng
fantastisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/fantastisch
faul,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/faul
fett,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/fett
fit,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/fit
fleißig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/flei%C3%9Fig
freiwillig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/freiwillig
frisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/frisch
froh,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/froh
früh,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/fr%C3%BCh
furchtbar,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/furchtbar
ganz,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/ganz
gefährlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/gef%C3%A4hrlich
genau,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/genau
gesund,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/gesund
hart,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/hart#1
heiß,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/hei%C3%9F
hässlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/h%C3%A4sslich
intelligent,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/intelligent
kalt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/kalt
klug,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/klug
komisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/komisch
kostenlos,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/kostenlos
kühl,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/k%C3%BChl
langweilig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/langweilig
leer,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/leer
modern,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/modern#1
nass,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nass
natürlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nat%C3%BCrlich
nebelig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nebelig
neblig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/neblig
nervös,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nerv%C3%B6s
nett,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nett
notwendig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/notwendig
nützlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/n%C3%BCtzlich
offen,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/offen
phantastisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/phantastisch
plötzlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/pl%C3%B6tzlich
praktisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/praktisch
preiswert,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/preiswert
privat,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/privat
recht,A2,,,,,,false,dwds-goethe-A2.csv; dwds-goethe-B1.csv,https://www.dwds.de/wb/recht#2; https://www.dwds.de/wb/recht#1
reich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/reich
