lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
manchmal,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/manchmal
meistens,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/meistens
mindestens,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/mindestens
nebenan,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nebenan
nirgends,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/nirgends
online,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/online
raus,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/raus
rein,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/rein#2
sogar,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sogar
sonst,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sonst
unterwegs,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/unterwegs
vorbei,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorbei
vorgestern,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorgestern
vorher,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorher
vorn,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorn
vorne,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorne
vorwärts,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/vorw%C3%A4rts
weg,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/weg
wenigstens,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wenigstens
zuerst,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/zuerst
zuletzt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/zuletzt
überall,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/%C3%BCberall
übermorgen,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/%C3%BCbermorgen
abwärts,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/abw%C3%A4rts
allerdings,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/allerdings
andererseits,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/andererseits
anderseits,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/anderseits
andrerseits,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/andrerseits
anfangs,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/anfangs
aufwärts,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/aufw%C3%A4rts
auseinander,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/auseinander
ausschließlich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/ausschlie%C3%9Flich#2
außen,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/au%C3%9Fen
beinah,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/beinah
beinahe,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/beinahe
bereits,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/bereits
bisher,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/bisher
bloß,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/blo%C3%9F#2
diesmal,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/diesmal
durcheinander,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/durcheinander
eben,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/eben#2
ebenso,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/ebenso
einerseits,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/einerseits
etwa,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/etwa
extra,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/extra
gar,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/gar#2
genauso,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/genauso
gratis,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/gratis
halbtags,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/halbtags
heim,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/heim
hinterher,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/hinterher
höchstens,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/h%C3%B6chstens
innen,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/innen
insgesamt,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/insgesamt
inzwischen,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/inzwischen
irgendwann,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/irgendwann
jederzeit,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/jederzeit
jedes Mal,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/jedes%20Mal
